INPUT:text	OUTPUT:category	CONFIDENCE:category	
То есть он из одной части , из одной области прокачивает протоны в другую область и там их отпускает , снова берет протон , перекачивает в другую и отпускает .	[6]	100.00%	
Суд должен быть в подчинении закона и гаранта Конституции .	[2]	100.00%	
"В декабре 1968 года я повесил на учебных корпусах , на Большой Пироговке и Погодинке , объявления : "" Приглашаются студенты , желающие заниматься в секции космической медицины "" ."	[5]	100.00%	
"Приветствую Вас и сообщаю с сожалением , что моя лекция "" Либерализм и национальный вопрос "" "" пропала "" где-то в недрах нашей колонии ."	[7]	100.00%	
Тот типаж силовика , который предпочитает стрелять на передовой , а не зарабатывать награды и звания в безопасном тылу .	[6]	100.00%	
Наконец , желая успокоить страсти , на одной из лекций в МИФИ Чернобров дал обещание пожертвовать одним из катастрофных деревьев , спилить его и на спиле поискать обугленный канал .	[7]	100.00%	
Потому , что главное , на мой взгляд , - это не используемые властью политические технологии и даже не отношение молодежи к Владимиру Путину .	[4]	100.00%	
Пожалуй , самый громкий на этих Играх , хотя в словах Юстины не могло быть в принципе ничего сенсационного .	[6]	100.00%	
Во второй половине сентября Жуков организовал новое отвлекающее наступление на северный фланг армии Паулюса с тем же результатом , что и в первый раз .	[4]	100.00%	
"Ведь и итальянцы , и немцы , и все другие рассуждают примерно так : переводить деньги на родину , где нет стабильности в вопросах налогообложения , не стоит "" ."	[7]	100.00%	
В Якутии бабушку раздражал плач семимесячной внучки , и она ее сожгла в печи .	[2]	100.00%	
По сведениям рабочих , в здании находятся баллоны с ацетиленом и кислородом , которые могут в любой момент взорваться .	[4]	99.99%	
Популярный политик окажется в окружении карьеристов - неудачников , политических бомжей и мелких оппортунистов , которые сбегутся на его зов , надеясь если не пройти в Думу , то хоть поживиться от предвыборной кампании .	[5]	100.00%	
Жители Москвы могли наблюдать Красную планету во всей красе 27 сентября в 22 часа 15 минут на юго-востоке между альфой в созвездии Водолея и альфой в созвездии Южной Рыбы .	[5]	100.00%	
"Проблема состояла в том , что в Москве и Вашингтоне по-разному понимали , что такое "" особые интересы "" ."	[3]	100.00%	
В Ленинграде погибли от голода его мать и сестра - вся маленькая семья , - и не было для него иного смысла существования , кроме участия в прорыве блокады .	[5]	100.00%	
"Закрытые корпоративные и государственные сети , вроде американской SIPRNet , сайты которой располагаются в доменных зонах smil.mil и sgov.gov ( она оказалась чуть "" приоткрытой "" благодаря усилиям WikiLeaks )"	[7]	100.00%	
"И получается , что хоть в проекции ледник и сократился , но в объеме он может продолжать расти "" ."	[5]	100.00%	
Государство , в классическом смысле этого понятия , в Афганистане закончилось в 1992 году .	[3]	99.99%	
И дело здесь не только в отсутствии хороших манер .	[1]	100.00%	
Из упомянутого телевизионного продукта следовало , что Медведева выбирали на президентство не как авторитетного и перспективного политика , а как сумму сигналов Западу , Востоку и для внутренних нужд .	[7]	100.00%	
В нынешнем году в вузы поступала и какая-то часть выпускников прошлых лет , у нас в ГУ ВШЭ они составили примерно 12 процентов абитуриентов .	[6]	100.00%	
Окна были холодны и прозрачны , но лавки с печками источали сухое тепло , и хорошо было смотреть на солнечные снега за окнами , когда поезд тронулся , и слушать быстрое мягкое постукивание колес .	[7]	100.00%	
Руководящую роль в политике и экономике играли родовые кланы .	[1]	100.00%	
Как и все сталинское руководство , он запятнал себя участием в чудовищных преступлениях режима .	[3]	100.00%	
"Для этого , по его словам , потребуются "" самые серьезные системные изменения и в организации медицинской помощи , и в техническом перевооружении медицинских организаций , и в качественном изменении кадрового потенциала здравоохранения "" ."	[5]	100.00%	
Закончив в Иерусалиме религиозную школу , молодой Ицхак Навон поступает в Еврейский университет , где изучает литературу и педагогику , а также - арабский язык и культуру арабских стран .	[7]	100.00%	
Есть , однако , и другая формулировка - так называемый сильный антропный принцип , который такого хитрого и не поддающегося проверке объяснения не требует .	[7]	100.00%	
Плотный рослый мужчина с низким лбом и густыми волосами , одетый в форменную одежду .	[2]	100.00%	
Он тогда не напьется и я смогу с ним поговорить начистоту , по душам .	[3]	100.00%	
Мне тоже совсем не улыбалась перспектива идти без остановок в Таиланд и потерять Индонезию .	[2]	100.00%	
"Человек этот был гуманитарной интеллигенцией , проживал один в малогабаритной квартире на улице Цюрупы ( пятый этаж без лифта ) и целыми днями читал "" Брокгауза и Ефрона "" ."	[7]	100.00%	
"Еще одним конкурентом Госстроя и РКС может стать "" Росэнергоатом "" , который активно создает собственную сбытовую сеть и присутствует уже в 13 регионах ."	[5]	100.00%	
Вышестоящие инстанции пресекли беззаконие еще в середине прошлого года коллегия по уголовным делам Верховного суда РСФСР и Прокуратура РСФСР отменили все обвинительные решения Башкирии по Богданову и прекратили уголовное дело за отсутствием состава преступления .	[5]	100.00%	
Что человечеству дали Максвелл и Фарадей , Александр Степанович Попов и Дмитрий Иванович Менделеев , Николай Иванович Вавилов , широкое население знает плохо , но без этих работ мы не имели бы почти ничего .	[5]	100.00%	
Возможно , подход американских психологов и пересмотр их позиций в отношении роли оптимизма и психического здоровья нации связан с широкой практикой психоанализа и психотерапии в США и необходимостью искать новые способы воздействия на пациентов .	[7]	100.00%	
Впервые Институт русского языка им. Виноградова проводит опрос в интернете , чтобы узнать , какие слова и выражения про мобильный телефон и действия с ним люди используют чаще всего .	[3]	100.00%	
И я был готов - что и сделал - обсудить некоторые общие проблемы , возникающие в подобного рода ситуациях , и риски , которые , на мой взгляд , полезно учитывать в собственной работе .	[7]	100.00%	
"Одного мальчика с соседнего двора так и прозвали "" Гитлер "" - очень на него был похож , и сильно ему за это доставалось ."	[2]	100.00%	
Эти страны будут испытывать серьезные экономические трудности , и сохранение в них современного экономического роста в рассматриваемом понимании проблематично .	[7]	100.00%	
О том , какие импульсы к переменам проявляются сегодня и какую роль в них играют этнические факторы , я планирую в скором времени рассказать .	[6]	100.00%	
Я не хочу оказаться в такой же ситуации и уговаривать людей посоперничать со мной .	[2]	100.00%	
И , несмотря на общий азарт наживы , характерный вначале для США , а потом охвативший весь мир , в Троицке сохранился дух и азарт прикладной науки и инноваций .	[6]	100.00%	
Если в МГУ по каждому предмету есть специалист , который ведет научную работу в своей области , то в таком вузе один преподаватель читает 3 - 4 разных курса .	[5]	100.00%	
Опыт и практика показывают , что на самом деле не надо , рано еще .	[5]	100.00%	
Я уверена , что когда эта барышня вырастет , то она точно с такой же естественностью наденет джинсы и простую майку , пойдет в них в театр и будет выглядеть там абсолютно к месту .	[7]	100.00%	
"Оказалось , что мы не "" впереди планеты всей "" , что мы занимаем "" середину турнирной таблицы "" , причем даже в такой области , которой привыкли гордиться - в области математического образования ."	[5]	100.00%	
Вот не придет же в голову Виктору Шендеровичу поступить как-нибудь дурно только потому , что и другие так поступают .	[5]	100.00%	
Это dutch oven - мясо , тушенное в огромном казане , которое томится целую ночь в специально выкопанной яме на горячих булыжниках , и сверху также заложенное теплыми камнями .	[4]	100.00%	
При нем суд принимает весьма своеобразные решения , потому что вынужден руководствоваться не только законом , но и рядом обстоятельств , не прописанных вообще ни в каких документах , однако на практике чрезвычайно значимых .	[7]	100.00%	
Другой пример - США , где одна из лучших в мире систем образования в школе и колледже вызвала экономический рост первой трети XX века .	[4]	100.00%	
Глеб купил свежую рыбу и держал ее в руках .	[1]	100.00%	
Москва держится до последнего и ничего не меняет - это тоже формула стабильности , и другой у нее нет .	[4]	100.00%	
Согласно договору , подписанному в 1919 году в Зеркальном зале Версальского дворца , к Франции навсегда отошли Эльзас и Лотарингия и на 15 лет - _ Саарский угольный бассейн .	[7]	100.00%	
Участие государства в развитии Сибири необходимо : частный бизнес не пойдет работать в не освоенную глушь , где нет дорог , людей и электроэнергии .	[6]	100.00%	
С приходом к власти М. С. Горбачева в отношениях России и Италии наметились перемены , и в конце 1980 - начале 1990-х годов образ СССР , а затем России стал восприниматься итальянцами более позитивно .	[6]	100.00%	
Тогда на островах нашли урановую руду , но дальше проектов и одного исследовательского реактора в университете Кентербери ( 1962 - 1981 ) дело не пошло , а в 1987-м страна объявила себя безъядерной зоной .	[7]	100.00%	
Средняя температура в мире в результате выброса в атмосферу продуктов сгорания упадет до такого уровня , что в подавляющем большинстве стран перестанет вызревать урожай .	[3]	100.00%	
Заседание - оно и в Берлине заседание , и ничего интересного на нем , конечно же , не услышишь .	[4]	100.00%	
Она вовремя соскочила , развелась и уехала в Лондон .	[1]	100.00%	
Папа , мама и Толя , все уехали в город , я осталась одна .	[2]	100.00%	
Подобная конспирология описывает в том числе наиболее громкие и трагичные инциденты в США . такие как нападение на младшеклассников в Коннектикуте в декабре 2012 года и массовое убийство в школе штата Флорида зимой 2018-го .	[6]	100.00%	
Впрочем , его и раньше применяли в термических прессах при плавлении и ковке металлов .	[3]	100.00%	
Регулярное использование Цилиндров Фараона при соблюдении ряда правил в повседневной жизни укрепляет и усиливает энергопотенциал и способствует развитию сверх-возможностей здорового и нравственно чистого человека .	[7]	100.00%	
В советские времена горная техника весьма низкого качества производилась на Украине и в Казахстане .	[3]	99.99%	
Однако и в Грязях нас устраивало далеко не все .	[1]	100.00%	
Я был пару раз в Багдаде в дорогих ресторанах на набережной - заказывал мазгуф .	[3]	100.00%	
Есть и лимоновцы , и даже бывшая либеральная публика .	[2]	100.00%	
В результате потерь кораблей и морской авиации в первый день войны не было вообще .	[3]	100.00%	
В России же традиционная институциональная среда разрушена , а новая не создана , и уже сам этот факт ставит под сомнение возможность передачи в таком обществе как традиционных , так и любых других норм .	[7]	100.00%	
Так что встречались мы и расставались спокойно и радостно .	[1]	100.00%	
Нам выписали направление , и на этот раз Цики безоговорочно погнал таксиста в госпиталь .	[4]	100.00%	
Эта истина фиксируется в документах ЮНЕСКО и Совета Европы .	[2]	99.99%	
"Да , наверное , сегодня можно прийти в "" Газпром "" или "" Роснефть "" и попросить там дополнительный триллион рублей в виде дивидендов ."	[2]	100.00%	
С тех пор я полюбил Крым и эту тропу , где я видел вас только мгновение и потерял навсегда .	[3]	100.00%	
Первые такие устройства появились в начале 70-х годов и были размером с хороший чемодан .	[3]	99.99%	
Глаз различал валявшиеся в беспорядке лейки и садовые инструменты .	[1]	100.00%	
Я имею в виду Сибирское отделение и Новосибирский университет .	[3]	100.00%	
Основной вывод из нашего теста - пора отправлять телевизоры на кухню и в спальню .	[3]	100.00%	
На последний юбилей Инны я принесла в качестве подарка давнюю фотографию дня рождения моей подруги - там все такие молодые , а я еще и беременная , поэтому очень толстая и совсем не Ренуар .	[6]	99.99%	
Оболочку Земли , в которой протекают биохимические процессы , он и предложил называть биосферой .	[3]	100.00%	
"При такой технологии исходный раствор и органический _ , содержащий "" вещество - извлекатель "" , ничем не разделяются и в месте контакта перемешиваются ."	[5]	99.99%	
"Массовый характер приняли попытки , нередко успешные , получения бюджетных средств под "" исследования "" и "" изобретения "" без предварительной экспертной оценки ведущих российских и иностранных ученых , специалистов в данной области науки ."	[7]	100.00%	
И не потому ли , кстати , самоорганизующееся интернет - сообщество остерегается признавать за ними лидерство , что ни в ком из них в отдельности и во всех вместе не находит олицетворения системной альтернативы ?	[7]	100.00%	
Говорят , что в исключительных случаях , раз в десять лет , зал может подарить герою и бычий хвост .	[4]	100.00%	
Все это полностью обеспечивало потребность экипажа в воде и кислороде ( до 500 л в сутки на человека ) .	[2]	100.00%	
Любые топ-листы , номинации , рейтинги , хит-парады и т. п. придают всему включенному в них существенность и значимость .	[6]	99.99%	
"Слово "" народ "" в этом утверждении может вызвать некоторые сомнения как слишком неопределенное и , быть может , более правильно и точнее с позиций социологии было бы вместо него сказать "" население "" ."	[6]	100.00%	
Однако практика показывает , что при правильной работе не только на Западе , но и у нас может быть партнерство между работодателями и рабочими .	[5]	100.00%	
Пример обратного - гигантские пробки на дорогах и очереди в общественном транспорте в Москве после неподготовленного введения электронных пропусков .	[4]	100.00%	
Я специально сравнивал русские и польские тексты - в некоторых местах переводчики ошибались , потому что не могли себе представить , что по-польски это слово значит не то же самое , что _ по-русски .	[5]	100.00%	
"Российский теплоход "" Вадим Попов "" , протараненный в среду китайским сухогрузом "" Танья "" , в настоящее время находится на ремонте в Пусане ."	[4]	100.00%	
Среди этих ходатайств были и личные , и групповые .	[2]	100.00%	
Следует сказать , что сегодня во всем мире наблюдается обратная картина - систематическое и устойчивое увеличение процентного участия женщин в сфере производства и науки .	[7]	100.00%	
На Сицилию смотрели не как на конечную цель войны , а как на отправной пункт для нападения на Карфаген , для захвата Африки и моря вплоть до Геракловых столпов .	[5]	100.00%	
Так бывшего старосту нашли за работой в риге сына - там же и расстреляли .	[3]	100.00%	
В XXI столетии итальянская и российская общественность , несомненно , заинтересованы друг в друге , хотя при этом существуют коренные различия в их ценностных ориентирах и глубинных культурных кодах .	[7]	100.00%	
Быть наедине и хочется , и _ _ страшно .	[1]	100.00%	
Наутро , как всегда , пришел в институт к 9 : и узнал , что наконец - то получено разрешение на допуск в НЭК .	[5]	100.00%	
Каждый день в СМИ - в первую очередь в интернете - появляются сообщения о неполитических акциях обманутых дольщиков , автомобилистов , экологов , противников уплотнительной застройки и т. п .	[7]	100.00%	
Я отправляюсь на прогулку и дохожу до самого виноградника .	[2]	100.00%	
Поэтому необходимо найти вариант политики , который обеспечивает и экономический рост и в то же время не увеличивает инфляцию .	[5]	100.00%	
Гражданин , имя которого не называется , попытался в одном нижнем белье пройти в здание посольства США в Москве .	[4]	100.00%	
Мой товарищ отнесся к ситуации с пониманием и сочувствием .	[1]	100.00%	
Их пять : три бензиновых ( 177 , 224 и 306 л. с. ) и два турбодизеля ( 155 и 177 л. с. ) .	[5]	100.00%	
Тут уж , извините , одинаковая нужда и в сантехниках , и в министрах .	[4]	100.00%	
Не отрицают они и возможности участия в муниципальных выборах .	[2]	100.00%	
Смысл не в том , чтобы высушить рыбу жаром углей , ее нужно пропечь и чтобы она получилась сочной .	[3]	100.00%	
Как правило , это ориентировано и на внешние рынки .	[2]	100.00%	
Когда в нем происходят столкновения , крупные тела разрушаются , их фрагменты постепенно мигрируют в центральную часть Солнечной системы и падают на Землю , на Луну и , вероятно , на Венеру и Меркурий .	[7]	99.99%	
Именно эти его способности и легли в основу созданной в Советском Союзе системы бионического кодирования телесигналов , которая позволяет без потери качества снижать цифровой поток почти в 7 раз !	[5]	100.00%	
Их изображения встречались на гадальных картах и старинных гравюрах .	[1]	100.00%	
"Образ страны необходимо учитывать и в анализе взаимных репрезентаций с позиции коллективного "" Я "" , сопоставляемого ( или противопоставляемого ) образу "" Другого "" в двусторонних отношениях стран ."	[6]	100.00%	
Выйдешь по траншее на восточный склон высоты , а дальше можно идти в полный рост , и кажется , что ты идешь в увольнение .	[6]	99.99%	
Боюсь , что и никого другого не спросят тоже .	[2]	100.00%	
Что сделать , дабы жизнь не превратилась в выживание ?	[2]	100.00%	
Они и потерь меньше несут , и воюют лучше .	[2]	100.00%	
Ты слышал , что террористы отрубают головы пленникам в Мосуле на мостах через Тигр и бросают тела в реку ?	[5]	99.99%	
С ознакомительным визитом в понедельник в Хабаровск прибыла делегация посольства Индии в России во главе с послом Кришнаном Рагхунатхом .	[3]	100.00%	
Однако и у богатых не все так уж благополучно .	[2]	100.00%	
Единый учебник подразумевает один взгляд на все прошлое России , начиная с Рюрика и кончая советским и послесоветским временем .	[7]	100.00%	
"В минувшую среду Государственная дума проголосовала в третьем , окончательном чтении за закон "" Об основах федеральной жилищной политики "" , поставив точку в бурных дебатах о стопроцентной оплате жилья и коммунальных услуг населением ."	[6]	100.00%	
Бесконечные чаепития на рабочем месте и ленивая симуляция деятельности .	[1]	100.00%	
Это значит , что его вырастили атомарно гладко и дальше отпустили в свободное плавание .	[5]	100.00%	
Когда я встречал взрослого , который казался мне разумней и понятливей других , я показывал ему свой рисунок № 1 - я его сохранил и всегда носил с собою .	[7]	100.00%	
Например , нас всех собрали в актовом зале и велели подвергнуть остракизму сценариста Володарского за то , что тот в пьяном виде избил дружинника .	[5]	100.00%	
Однако на обратном пути они попали в снежную бурю .	[1]	100.00%	
Он снова ввязался в боевые действия - на территории Либерии и в соседней Сьерра-Леоне .	[3]	100.00%	
Да и насладиться своими богатствами полноценно вы не можете .	[2]	100.00%	
Алла Тарасова родилась и окончила университет в Москве , филолог , профессор , много лет преподавала в университетах США .	[3]	100.00%	
И здесь наблюдаются и подмена понятий , и прямые фальсификации , вплоть до завышения числа погибших в несколько раз .	[4]	100.00%	
Наш фонд ведет просветительскую работу и в этом направлении .	[2]	100.00%	
Она отлично защищает и глаза наблюдателя , и телескоп , практически не искажая изображения .	[4]	100.00%	
Прогноз одного из крупнейших валютных спекулянтов в мире - банка UBS : $ 1,15 в конце этого года и $ 1,1 в середине следующего .	[5]	100.00%	
"Однако в книге "" Дорога в Австралию "" , где Кабо подробно описывает начало и завершение своей службы в армии , никаких упоминаний о нахождении под арестом и суде над ним Военного трибунала нет ."	[5]	100.00%	
"Так как в таком паровозе процесс вполне "" взрослый "" , он снабжен всеми необходимыми и полноразмерному паровозу приборами : манометром , указателем уровня воды в котле и термометром ."	[7]	100.00%	
Никто не знает , во-первых , у кого не выдержат нервы и , во-вторых , в какой именно форме .	[5]	100.00%	
Автор сам бывший шахтер и очень хорошо описывает , как шахтеры в наше время свет увидели и шахта перестала быть для них преисподней , а прежде именно преисподней была .	[7]	100.00%	
Оказалось , что и учат в зарубежных школах тому , чему мы не учим - вероятностью и статистикой увлекаются , и акценты у них другие - все больше прикладные .	[7]	100.00%	
Бывали даже случаи , когда в половине шестого зимой выстраивали шеренгу новобранцев на плацу и говорили им , что не пустят в казармы того , кто не подпишет контракт .	[5]	100.00%	
"Беседа руководителя КНДР и южнокорейского дипломата прошла в "" теплой и дружественной обстановке "" , отмечается в сообщении агентства ."	[3]	100.00%	
Постепенно модернизируясь и совершенствуясь особенно в последнее время , эта идеология господствует и сейчас .	[6]	100.00%	
"Как сообщили в Управлении государственной противопожарной службы ГУВД Санкт-Петербурга и Ленинградской области , сигнал о возгорании поступил на пульт дежурного в 22 : 37 , передает "" Интерфакс "" ."	[5]	100.00%	
Человек , потерпевший кораблекрушение и затерянный на плоту посреди океана , - и тот был бы не так одинок .	[4]	100.00%	
"С другой стороны , захват Крыма и "" подвешенная "" нестабильность на юго-востоке Украины устраняют угрозу возникновения в Севастополе базы НАТО и делают малореальным в ближайшей перспективе вхождение Украины в европейские и североатлантические структуры ."	[7]	100.00%	
Вот я и подошла к кукольному трюмо в лилиях и наядах , присела и при свете коптилки присмотрелась к ничтожной себе : лысая , в мамкой сшитой ситцевой телогрейке .	[7]	100.00%	
С конца августа 1941 года в соответствии с договорённостью правительств Великобритании и СССР начинаются взаимные военные поставки через советские северные порты , после чего значительная часть немецких подводных лодок начинает действовать в Северной Атлантике .	[5]	99.99%	
Между тем сквозил в них и несомненный мифоборческий оттенок .	[3]	100.00%	
Тогда и отечественный бизнес станет больше вкладываться в свою страну , и зарубежные инвесторы будут активнее в наших проектах .	[3]	100.00%	
Говоря о ситуации в мире , он подчеркнул , что речь идет не просто о санкциях и давлении на Россию , которые лишь подтверждают масштабный сбой в мировой политике .	[6]	100.00%	
Потом постоялец выскочил из комнаты , сорвался с лестницы и переломал себе кости , так и не сумев рассказать , что с ним случилось .	[5]	100.00%	
Особенно большие трудности повышение тарифов принесет малому и среднему бизнесу , которые и так находятся в очень сложном положении .	[3]	100.00%	
При этом фосфина в атмосфере планет - гигантов нашли в сотни , если не в тысячу раз больше , чем сейчас обнаружено на Венере .	[6]	100.00%	
Потому что одно дело посидеть пару часов в собственной лавочке и совсем другое - выметать в праздники чужой дом .	[3]	100.00%	
И если к вам подойдет маленький мальчик с золотыми волосами , если он будет звонко смеяться и ничего не ответит на ваши вопросы , вы , уж конечно , догадаетесь , кто он такой .	[7]	100.00%	
Проблема национального языка продолжает существовать в атмосфере неготовности нашего сознания к ее радикальному разрешению , хотя последнее так просто и естественно в условиях демократизации .	[5]	100.00%	
В тылу и на фронте кормят в трое суток один раз и не досыта .	[2]	100.00%	
Почти каждый день я встречаю почтенную 80-летнюю баронессу с идеально уложенными волосами и в белом пальто , безупречно воспитанную , в отличие от ее черной тявкающей собачонки ( тут собакам лаять не полагается ) .	[7]	100.00%	
Танки в пшенице зашевелились , лязгая , стреляя огнем , двинулись на людей , лежавших с автоматами в ямах , в воронках от снарядов .	[5]	100.00%	
Таким образом , деньги родственников террориста номер один в мире помогли военным США бороться против режима талибов в Афганистане и армии Хусейна в Ираке .	[5]	100.00%	
Я не верю в кровавую революцию снизу в России .	[3]	100.00%	
Поставил стакан перед собой и продолжал рассказывать и расспрашивать .	[2]	100.00%	
Об этом сообщил в среду афганский дипломат в Душанбе .	[1]	100.00%	
Бывало , и не возвращались на ночь : то бомбежки , то обстрелы , то просто ноги не идут .	[4]	100.00%	
Ни в какие школы юных фотомоделей в массе своей они не ходят , а бегают , прыгают , играют в песочницах , но практически никогда не играют в войну .	[5]	100.00%	
Мы вообще много чего не знали и не пробовали .	[1]	100.00%	
Дверь в столовую открылась и на пороге появилась Светочка - молодой лаборант , девочка с внешностью школьницы - отличницы , в аккуратных очочках и с бланком анализа в руке .	[7]	100.00%	
Благодаря этому обстоятельству , а также учитывая тот факт , что к физическому труду парень не годен , отец устроил его в управление сначала сторожем , а потом он вырос и до помощника писаря .	[7]	100.00%	
Более того - топирамат попутно замедляет образование в головном мозге и других активирующих медиаторов , например норадреналина и серотонина .	[6]	100.00%	
Я не один год их знаю , и если до сих пор ничего не писал про Ермолино , то только чтобы не навлечь громы и молнии со стороны РПЦ .	[7]	100.00%	
Он преподавал химию и в других петербургских учебных заведениях .	[2]	100.00%	
"И , наконец , в случае "" Фукусимы "" катастрофу вызвал просчет в расположении резервных генераторов и линий электропередач ."	[5]	100.00%	
Такие цели проставлены в Концепции социально-экономического развития страны до 2020 года , рассмотренной в пятницу на совещании в правительстве .	[4]	100.00%	
Многие деревья так и замерзали , не успев пожелтеть .	[2]	100.00%	
И не признавать ее - значит одновременно обеднять и свой народ , ограничивать ему доступ к достижениям отечественной и мировой культуры , науки , техники , затруднять сотрудничество республик и общение граждан разных национальностей .	[7]	100.00%	
Все службы безопасности Австралии приведены в состояние повышенной готовности в связи с поступившей информацией о возможной террористической угрозе интересам США или Великобритании в стране .	[7]	100.00%	
Утром он поднялся с головной болью и , не позавтракав , поехал на работу .	[3]	100.00%	
В Австрийской империи свободные крестьяне проживали в той части государства , которая была населена немцами ( Верхняя и Нижняя Австрия , Штирия , Каринтия , Тироль ) и итальянцами ( Ломбардия , Венеция ) .	[5]	100.00%	
Ставил ее на ноги , но ноги были согнуты в коленях и не разгибались .	[3]	100.00%	
Переход располагается в толще бикристалла , способного противостоять и высоким давлениям , и ударам .	[4]	100.00%	
Развертывание производства в космосе не только перспективный , но и неизбежный путь индустриального прогресса .	[3]	100.00%	
Сила нашей позиции в ее последовательности ; - но втягиваться в конфронтацию для нас было бы контрпродуктивно , а если откат в отношениях с Западом все же произойдет , то не по нашей вине ;	[6]	99.99%	
Первым массированным налётом на объекты в глубине Германии стал двойной рейд на Швайнфурт и Регенсбург 17 августа 1943 года .	[3]	100.00%	
Хотя бы в память о Людмиле Алексеевой и в напоминание о ее последней просьбе .	[3]	100.00%	
Кроме того , художественная литература , как и другие виды искусства , объединяет авторские ( включая и анонимные ) произведения в отличие от принципиально не имеющих автора произведений фольклора .	[5]	100.00%	
Однако сами вузы заинтересованы не только в богатых , но и в одаренных студентах .	[3]	100.00%	
Потом исследователи догадались совместить два полупроводника разных типов , в результате чего на свет появились диоды , транзисторы и микропроцессоры , а мы оказались по уши в электронном веке .	[6]	100.00%	
Согласно некоторым СМИ Турции , минобороны США отправило в свои воинские подразделения в Турции депешу , предписывающую эвакуацию из страны жен и детей военнослужащих , а также принятие дополнительных мер безопасности на военных объектах .	[6]	100.00%	
Связь с комбатами и с огневыми позициями не прерывалась .	[2]	100.00%	
Сам характер грузинской революции обуславливался в том числе и национальным проектом , в соответствии с которым в планы новой грузинской власти уже не входила традиция деления власти с Москвой .	[7]	100.00%	
С другой стороны , избиратели , голосовавшие за Медведева , спокойно переносят унижение своего избранника , что можно рассматривать и как дополнительное унижение , и как проявление отношения избирателей к выборам и своим голосам .	[6]	100.00%	
Этот тюк два дня лежал в коридоре , прикрытый рогожей , а позавчера хозяйка попросила убрать его с глаз долой и отнести в старый курятник , находящийся за сараем .	[7]	100.00%	
Советских людей не может не беспокоить тот факт , что за последнее время возникают нетерпимость , трения , а то и конфликты на межнациональной основе , происходит нагнетание такого рода противоречий в прибалтийских республиках .	[7]	100.00%	
Никакой геометрии в этом устройстве не было , и московские улицы формировались как пути от одной усадьбы к другой .	[4]	100.00%	
Агент МИ6 работал паспортистом в посольстве Великобритании в Берлине .	[3]	100.00%	
И вот в ноябре 1971 года в Грузии была открыта новая транспортная линия , в которой контейнеры со стройматериалами - галькой и щебнем - двигались , подталкиваемые лишь силой ветра , дующего в трубе .	[7]	100.00%	
Немцы , захватив город , расстреляли и повесили коммунистов , евреев собрали в гетто , и началась повседневная жизнь .	[5]	100.00%	
"После его окончания он получил золотую медаль за диссертацию на степень доктора медицины "" Изучение химического состава и лечебного действия минеральных вод России "" ( написана и издана на латыни в 1825 году ) ."	[5]	100.00%	
Может быть , еще и поэтому я захотела отвечать сама за себя и параллельно с мультфильмами стала писать рассказы .	[4]	100.00%	
Оказалось , что есть известный специалист с русским именем Вадим Макаров , который сейчас работает в Канаде и достиг в своем деле больших успехов .	[3]	100.00%	
Мы уже сейчас тратим на пенсии в процентах к ВВП столько же , сколько _ развитые страны с более пожилым населением , при этом у нас высокие страховые взносы и не очень высокие пенсии .	[7]	100.00%	
Помню , как прямо в спортивном костюме я поехал домой , и на улице почему-то все на меня оглядывались .	[5]	100.00%	
"Из мира подданных , государственно полезных и бесполезных , должных и обязанных , все переселились в мир свободных индивидуумов , с приоритетом прав человека над "" интересами государства "" ."	[7]	100.00%	
На сегодняшний день сфера образования в России имеет не более 4,5 % ВВП , в то время как в развитых странах на нее приходится 7 - 8 % ВВП .	[4]	100.00%	
Большое место в книге занимает анализ финансово - экономических последствий ограбления евреев в оккупированных и зависимых от немцев странах .	[3]	100.00%	
Этих денег я ей так и не вернула , потому что вскоре она умерла .	[4]	100.00%	
Впрочем , загрузили дополнительно и основательно не только детей .	[3]	99.99%	
Демократическим странам еще предстоит найти ответ на вопрос о рациональном соотношении толерантности и приоритета прав человека и защиты интересов основного населения на рынке труда .	[7]	100.00%	
Когда выпадет снег и гимназистки будут румяные , от мороза чуть пьяные , он приедет с войны чуть изменившийся и обнимет почти сразу , после того как сбросит Фросе на руки башлык и шинель .	[7]	100.00%	
В политико - военных и военно - стратегических прогнозах и планах США учитывают нередко в совокупности наши два государства .	[7]	100.00%	
"В реальности материальные институты и культурные традиции находятся в нерасчлененном единстве , поэтому современные институциональные теории рассматривают идеальные нормы , "" правила игры "" в качестве такого же института , как и социальные организации ."	[7]	100.00%	
Так все-таки вы не исключаете активизации патриотизма на фоне Украины как двигателя окончательного укрепления Путиным своего рейтинга и обеспечения проблемы своего избрания в 2018-м на окончательно зачищенной политической площадке ?	[7]	100.00%	
Он задумался , чуть перекосив худенькое лицо , и даже перестал выдергивать цветы и травинки , в его коричневых глазах появилась боль - так трудно вложить в чужую душу самые простые и очевидные истины !	[6]	100.00%	
Как и на прошлом судебном процессе , следствие и суд попытаются сыграть на религиозном возрождении в стране , на благожелательном отношении общества к церкви .	[6]	100.00%	
На этом обсуждении минфиновцы требовали ни в коем случае не отходить от утвержденного ранее бюджетного правила - то есть не увеличивать инвестиции в экономику и надеяться на ее самоисцеление .	[4]	100.00%	
У нас в течение 90-х годов эта сфера тоже неуклонно росла , увеличившись с 33 % в 1990 году до 54 % в 2004-м .	[5]	100.00%	
На беду тонкими ценителями семечек были и сороки , и воробьи , и синицы .	[2]	100.00%	
Электричества , разумеется , не было и в помине .	[2]	100.00%	
