fragment,textbook-assigned cefr level
"А сейчас плохая новость: вы едите только шоколад! И ещё пьёте кофе и чай. И всё. Да, есть ещё банановая диета. Я думаю, вы уже понимаете её принцип.",1
"Я могу день и ночь смотреть на океан! В нашей деревне не очень много людей, мало машин. Мы все знаем друг друга, и это здорово!",1
"Евгений работает, конечно, очень много, потому что у него есть дети, а его жена — домохозяйка. У него есть работа. Весь день он думает, считает, анализирует.",1
"Антон очень любит книги, много читает, поэтому в воскресенье он пошёл на Арбат в «Дом книги». Он посмотрел выставку, купил энциклопедию и, конечно, новый детектив.",1
"Даже в одной и той же квартире. Его бабушка и дедушка жили там, его отец родился в этой квартире. Конечно, не в Петербурге, а в Ленинграде.",1
По телевизору президент России поздравляет всех с Новым годом! Президент России желает всем здоровья и счастья. Новый год — это семейный праздник. Вся семья сидит за столом.,1
"Но когда мы играли в шахматы, он всегда проигрывал, потому что он ещё плохо играет в шахматы. Но есть в семье одно хобби, которое я ненавижу.",1
Меня зовут Иван. Я москвич. Мне очень нравится Москва. Это большой и красивый город. Здесь Кремль и Красная площадь. Здесь Александровский сад и Большой театр.,1
Окрошку делают на квасе или на кефире. Квас — это национальный русский напиток. Пельмени — это русские равиоли. Пельмени делают только с мясом и едят со сметаной.,1
"На завтрак я обычно ем 3 яйца, 2 круассана, одно манго и пью кофе. После завтрака я одеваюсь и иду в школу на урок. В 12:30 у меня русский.",1
"Спартаковцы ехали на футбол, и их болельщики ехали на футбол. В метро было много людей. К счастью, футболисты никого не потеряли. Все приехали на стадион вовремя.",1
"Дети говорят, что её обеды всегда вкусные. Как жаль, что папа обедает не дома. Потом дети играют, а мама работает. Женщины часто говорят, что работа неинтересная.",1
"В свободное время он с удовольствием играл в теннис с другом. Русский учёный-физиолог Иван Петрович Павлов летом любил гулять, а зимой кататься на лыжах.",1
"Венеция — не очень большой, но уникальный город на севере Италии. Почему он уникальный? Потому что он находится на воде! Венеция — это острова, каналы и мосты.",1
"А у русского царя могли обедать 1000 гостей, а блюд иногда было полтысячи. Борис Годунов однажды 6 недель угощал 10 000 человек в день, и все ели на серебре.",1
"У сына уже есть жена и два ребёнка. Это очень хорошо. Я думаю, что жить одной плохо, потому что дети и внуки живут далеко.",1
"Мой младший брат всегда хотел стать путешественником. Он серьёзно занимался спортом, много читал о разных странах, ходил в горы, ездил в Сибирь, на Кавказ и в Крым.",1
"Оранжевый цвет — это хороший антидепрессант. Его выбирают весёлые и коммуникабельные люди, они легко работают в коллективе. Жёлтый цвет машины выбирают оптимистичные и харизматичные люди, они коммуникабельные и интеллигентные.",1
"Мой брат — капитан. Он много курит, а я не курю. У нас есть папа. Его зовут Пётр Ильич. Наш папа — врач. Он тоже курит и много читает.",1
"«Как я любил тебя», — писал Пушкин». Клара: «Я очень рада, что была в Доме-музее Пушкина на Арбате. Там на портрете я видела поэта и его жену».",1
"К счастью, у меня есть бутерброд и кофе. Сейчас я отвечаю на письмо, но Интернет работает очень плохо. Это проблема. А это наш директор.",1
"Но русский деликатес — это, конечно, икра. С икрой мы едим блины или бутерброды. Есть красная и чёрная икра. Икра — это дорогой продукт, и мы едим его нечасто.",1
"После обеда я ещё немного работаю, а потом иду в модный бутик и покупаю новое платье. В 19 часов я опять иду в театр и играю в спектакле.",1
"Поэтому около нашего дома часто гуляют туристы, они хотят посмотреть, где жил их любимый автор. Но сегодня мы идём в гости не к Достоевскому, а ко мне.",1
"это очень интересный и активный спорт, очень популярный в России, в Европе и в мире. Сегодня я смотрю важный матч: «Зенит» (Петербург) — «Спартак» (Москва).",1
"Её зовут Ольга. Она учитель. Она любит работать, но работает мало. Она любит читать и смотреть телевизор. Она думает, что Игорь её любит.",1
"В каком городе я живу? Я живу в самом красивом городе мира — Париже! Я всегда мечтала жить в большом старом городе, никогда не хотела жить в маленькой деревне.",1
"Днём он учится, а вечером вместе с другом Ником делает домашнее задание, отдыхает, слушает музыку, смотрит новые фильмы. Недавно друзья познакомились с Ниной.",1
"Но Эрик Ларссен думает, что это не очень большая проблема. Здесь удобное место — это очень важно.",1
А вот Саша очень любит оперу. Каждый год мы отдыхаем летом на море. В этом году мы были на море в июле.,1
"Они думали, что все эти люди тоже едут на футбол. Машины больше не ехали, и спартаковцы поняли, что они могут опоздать на свой матч.",1
"футболисты решили не терять время и идти пешком на станцию метро. Служащие метро очень удивились, когда они увидели свою любимую футбольную команду на станции.",1
"31 декабря в полночь в России пьют шампанское, много едят, потом празднуют до утра, а первого января почти никто не работает — все спят и отдыхают.",1
"Наши дочери Криста и Доротеа учатся в школе. Родители мужа тоже живут с нами. Я думаю, что жить вместе прекрасно, потому что мы всё делаем вместе. Это здорово.",1
"Здесь широкие улицы и проспекты, красивые старые и новые здания, современные гостиницы и банки, магазины и рестораны. Сейчас я студент. Московский университет — это мой университет. Здесь мои друзья.",1
"Но я был в Азии, в Америке, в Африке. Есть очень интересные страны! Например, Сингапур: остров маленький, но страна богатая и дорогая, там большой бизнес и большие дома.",1
"В выходные я ходил на фильм «Ночной дозор». Замечательный фильм! Мне очень понравилось! Я не очень люблю фантастику, но это было классно!",1
"Моя школа находится там. Мой старший брат тоже живёт в Зальцбурге. Он учится в университете. Я думаю, что жить там здорово!",1
"У неё есть 2 брата — Егор и Николай. Их родителей зовут Константин и Евгения. Константин — преподаватель, а Евгения — домохозяйка. Родители Константина — врачи.",1
"Он как борщ, только без свёклы. Щи — это зелёный суп, а борщ — красный. Что ест каждая русская семья на Новый год? Салат «Оливье».",1
"Я и моя сестра вместе ходим в кино. А вот наш кот. Его зовут Ромео. Он очень любит спать, играть и есть, но не любит гулять. Вот и всё!",1
"Давайте познакомимся, меня зовут Фенечка. Я живу в городе в доме номер 10, на пятом этаже. Летом я живу на балконе. На балконе я сплю, завтракаю и ужинаю.",1
"Они не работают, потому что они уже пенсионеры. Это мой брат Андрей. Он тоже, как и я, студент. Но я изучаю русский язык, а мой брат изучает английский.",1
"Сегодня мы (мой сын и я) вместе делаем моё домашнее задание. Я читаю текст, а мой сын слушает. Потом я рассказываю текст. Потом Патрик спрашивает, а я отвечаю.",1
"Сейчас 6:30, я встаю и принимаю душ. Я не люблю принимать ванну, это очень долго. Потом я быстро одеваюсь и крашусь.",1
"Георг: Конечно, мы не только ходили в музей-квартиру Пушкина, но и в город Пушкин ездили. Ходили там в лицей, видели комнату, где жил Пушкин. А в Петродворце были?",1
"Учёные работают для науки и прогресса, даже когда у них маленькая зарплата. Писатель пишет для читателя, а политик работает для народа и страны. Как минимум, политики обычно так говорят.",1
"Сегодня воскресенье. Мы отдыхаем. Папа читает журнал «Спорт». Он очень любит спорт, особенно футбол. Его любимая команда — «Спартак».",1
"Сервис прекрасный, кухня отличная, приятная атмосфера и красивые виды. Конечно, за всё надо платить, но это не так дорого, как люди обычно думают. Просто рай на земле! или на воде.",1
Игорь: «В воскресенье я обычно хожу в библиотеку. Только в этот день я могу не ходить в университет».,1
"Антон и Виктор — друзья. Они познакомились, когда учились в школе. А сейчас они вместе учатся в университете. Днём они вместе ходят на лекции, занимаются в библиотеке, а вечером отдыхают.",1
"Мы изучаем русский язык. Это наша аудитория. Сейчас урок. Мы изучаем русский язык. Мы много говорим, читаем и пишем по-русски. Мы ещё плохо знаем русский язык и говорим медленно.",1
"Мы живём в большом городе, в новом районе, на Зелёной улице, в новом девятиэтажном доме на восьмом этаже.",1
"Где они живут в Америке? А где они живут в России? Это карта США. В Америке. Аманда живёт в Калифорнии, в Сан-Франциско. Джош живёт в Нью-Йорке, в городе Порт-Вашингтоне.",1
"Андрей — друг Максима. У Андрея есть кошка. Но Андрей тоже мечтает о собаке. Наверное, все мальчики хотят иметь собаку.",1
"Может быть, потому что зимой, когда на улице холодно, идёт снег, очень приятно увидеть на столе маленькое жёлтое солнце. Праздник начинается поздно вечером и продолжается всю ночь. Везде фейерверки, салюты.",1
С ними он иногда ездит на рыбалку. Летом он обычно отдыхает в горах. Летом в горах прохладно.,1
"В моей квартире только одна комната, ванная и туалет. Это квартира-студия, поэтому у меня нет кухни.",1
"Недавно Антон прочитал в газете, что в Москве в «Доме книги» на Арбате будет большая книжная выставка.",1
"Иногда одежда — это религиозный символ, и люди носят эту одежду, потому что думают, что Бог так хочет.",1
"Шведский утренний бутерброд — это хлеб с маслом, мясом, рыбой или джемом. Шведы пьют на завтрак горячий кофе.",1
"Дед Мороз ходит не один, у него есть внучка — Снегурочка. Наконец, Дед Мороз не рекламирует кока-колу.",1
"В разных странах люди интересуются футболом — смотрят матчи по телевизору, ходят на стадионы и болеют за любимые команды.",1
"Люди смотрят не фильм, а рекламу банка, кофе и т. д. Я знаю, что режиссёр раньше снимал рекламу.",1
"Здесь чистый воздух, так как недалеко находится прекрасный большой парк. В свободное время Эрик любит гулять в парке. Но его друзья часто говорят: «Не гуляй поздно вечером в парке один».",1
"Это очень интересный город, потому что здесь всегда холодная погода, а рядом тёплое море. Здесь есть маленькие магазины, кафе и небольшая старая церковь. Здесь есть школы, колледжи и даже университет.",1
"Антон ничего не делает, он отдыхает. Преподаватель Николай Михайлович тоже отдыхает, он читает журнал «Спорт».",1
"Обедали обычно в полдень, но обед тоже был не такой, как сейчас. Царь Алексей Михайлович, отец Петра Первого, на обед ел хлеб и пил немного пива.",1
"Я смотрю в окно и вижу океан, яхты и сад около дома. Я очень люблю отдыхать в этом саду, слушать, как поют птицы, как шумит океан.",1
"В школе она играла в бадминтон, а в университете занималась плаванием. Сейчас Кейт занимается теннисом с персональным тренером. Также она часто играет на Уимблдонском турнире.",1
"У Максима есть красивые игрушки, новый компьютер, телефон, часы. Но у него нет собаки. Максим мечтает о собаке. Он говорит, что не может жить без собаки.",1
"Мой младший брат Виктор очень серьёзный и умный человек. Он хорошо учится, много читает, поэтому много знает. Завтра вечером по телевизору будет игра «Что? Где? Когда?».",1
"Когда мы гуляли, мы много фотографировали: суздальский Кремль, старинные здания, соборы, улицы, исторические памятники. Потом мы с другом пошли к киоску. Там мы купили недорогие сувениры.",1
"Сегодня это не просто миллионы селфи туристов и моделей. Компании часто рекламируют и продают продукцию в «Инстаграме». Кстати, 68 процентов пользователей в «Инстаграме» — женщины.",1
"Последний раз я катался на коньках, когда мне было десять лет. Нина: Тебе не больно? Джош: Да нет, всё в порядке. Только рука немного болит. Ничего, пройдёт.",1
Это мой родной город. Вот наша большая гостиница «Космос». Здесь мои хорошие друзья. Их зовут Виктор и Антон. Они студенты. Почему они сейчас здесь?,1
"У него очень серьёзная профессия. Он финансовый директор. Он много знает. Например, он знает, что делать, когда в стране кризис. Он знает, когда акции покупать.",1
"Папа хорошо знает команду «Спартак», потому что его хороший друг играет в «Спартаке». Мама в свободное время любит готовить. Сегодня она готовит суп. Это наше любимое блюдо.",1
"Его отец был рыбаком, и уже в девять лет мальчик ходил с ним в море.",1
"Они любят ходить в театр, в музеи, иногда они ходят в ресторан. Конечно, они не всегда отдыхают вместе. Например, Антон любит играть в футбол, поэтому он часто ходит на стадион.",1
"Сегодня мужчины и женщины обычно равны: вместе учатся и работают, но характеры у них разные.",1
"Ирена ещё не решила, кем она хочет быть, но она любит изучать иностранные языки и серьёзно занимается музыкой.",1
"Он, конечно, прекрасный музыкант, но он всегда громко играет на саксофоне, а мне не нравится громкая музыка.",1
"После спектакля я иду домой и ужинаю. Обычно я ужинаю поздно. На столе стоят свечи, играет французская музыка. У меня прекрасное настроение. Иногда во время ужина я смотрю хорошую комедию.",1
"Например, в Китае раньше жёлтую одежду мог носить только император, а в Греции белую одежду носили только аристократы.",1
"Нам очень нравится слушать, как он играет музыку Моцарта и Вивальди. Да, я всегда мечтала о такой квартире и о таком городе.",1
Утром я завтракаю. Потом я работаю. Вечером я отдыхаю. Сначала я читаю газеты. Потом я слушаю музыку и смотрю телевизор. В 9 часов я гуляю. Потом я ужинаю и сплю.,1
"В России к нему начинают готовиться ещё в декабре: ходят по магазинам, покупают красивую одежду, ёлку и, конечно, подарки.",1
Для встречи гостей в русском доме хлеб и соль каждый день были на столе с утра до вечера.,1
"Мужчины и женщины. Это самая важная тема в мировой культуре! Как много здесь стереотипов! Например, говорят, что женщины всё время думают о моде и красоте. Но для кого эта красота?",1
"Обедают и ужинают они долго и едят много, а завтракают быстро. Итальянский завтрак — это кофе, сладкая булочка или круассан с джемом, нутеллой или шоколадом. И всё!",1
"Люди тратят слишком много времени в социальных сетях, «Фейсбук» и «Ютуб» — враги эффективности и тайм-менеджмента. Взрослые и дети живут в Интернете.",1
"А яхта в море. Нет, в океане. На яхте мотоцикл (он давно о нём мечтал). Новая модель «Харлей-Дэвидсон».",1
"Он интересуется не только лекциями и программами, но даже обедами для студентов. С первым русским энциклопедистом случались удивительные вещи.",1
"Сергей: «Отдыхаю я каждый день. Обычно я хожу в разные бары, где продают хорошее пиво и где играют хорошую музыку. Вчера, например, ходил в бар ""Хэндрикс-клаб"".»",1
"Сначала я несколько раз читаю новое слово, потому что у меня хорошая визуальная память, и потом несколько раз повторяю его.",1
"Правда, комнаты маленькие, в номере есть телевизор, но нет душа и даже туалета — туалет в коридоре, как обычно в самолёте.",1
"Он делал её три года. Анатолий любит путешествовать на яхте с друзьями. Год назад они ходили на яхте в Болгарию, Турцию и Грецию. Это тоже мой брат. Ему 39 лет.",1
"Мы студенты. Это наша аудитория. Тут наши столы, стулья, сумки, куртки, тетради, учебники, ручки, карандаши. А это мой стол. Тут моя тетрадь, моя ручка, мой словарь, мой учебник.",1
"Его зовут Игорь. Он инженер. Игорь любит работать и работает много, день и ночь. Он много думает и много знает.",1
"София очень талантливая. А вот наши бабушка и дедушка, их зовут Валентина и Валентин. Они пенсионеры. У них много энергии, и они очень активные. У них есть собака.",1
"Если ребёнок живёт во Франции и если этот ребёнок – мальчик, родители говорят ему, как в России: «Ты родился в капусте».",1
"Два города — две столицы! Москва — старый город, важный политический и финансовый центр. Сегодня Москва — российская столица, а раньше это была столица СССР.",1
"«Иногда мы вместе сидим на полу и обсуждаем проекты и планы», — говорит Марко Б. Сотрудники Гугл работают много, они практически живут на работе.",1
"И соседи были не очень приятные: сначала долго ужинали, потом пели песни и громко смеялись. Вот на машине ездить хорошо: быстро и удобно.",1
"Я капитан. Я думаю, это очень хорошая работа. Конечно, трудная и иногда опасная. Когда я работаю в море, я никогда не отдыхаю.",1
"Меня зовут Александр. Я студент, я ещё не работаю. Моя мама — преподаватель. Мой папа — программист. Мои родители много работают. Мой брат — школьник.",1
"Мой папа — фотограф и поэт, у него есть талант. Его зовут Иван Ильич. Он очень много знает. Папа читает книги и газеты, потом мы ужинаем и говорим.",1
"Папа хорошо знает команду «Спартак», потому что его хороший друг играет в «Спартаке». Мама в свободное время любит готовить. Сегодня она готовит пельмени. Это наше любимое блюдо.",1
"Они похожи, но есть разница. Шуба Деда Мороза всегда длинная (в России зимой холодно!) и может быть разных цветов, а у Санта-Клауса — всегда красная и обычно короткая.",1
"Обычно Андрей утром изучает английский язык, днём гуляет, а если плохая погода, он читает дома книгу. Вечером он сначала делает домашнее задание, повторяет грамматику. Потом он смотрит телевизор.",1
"Учиться немного трудно, потому что все лекции читают по-английски. Я говорю по-английски не очень хорошо, но у меня есть друг. Его зовут Пол.",1
"В палеодиете не едят хлеб, сахар, молоко и другие «современные» продукты, но едят мясо, рыбу, овощи и орехи.",1
"; в музей на выставку – из музея с выставки. Предлоги, как люди, дружат не только все вместе, но и парами. Вечером ко мне в гости приходит моя подруга.",1
"Ещё я люблю фотографировать и слушать музыку, особенно джаз. У меня есть семья. Вот наша фотография. Это моя мама. Её зовут Кейт. Она юрист.",1
"Ещё на стене висит картина. Справа в углу стоит шкаф, в шкафу висят джинсы. Слева в углу стоит кресло. В кресле сидит девочка. На диване лежит собака.",1
"В 10 часов 46 минут я обычно иду в свой салон красоты. Здесь я умываюсь и причёсываюсь. Здесь же, на балконе, находится моя столовая. Я всегда поздно завтракаю.",1
"На прошлой неделе я ездила на осеннюю ярмарку. На ярмарке было, как всегда, весело и интересно. Звучала весёлая музыка, многие продавцы были одеты в национальные костюмы.",1
"Белый — это нейтральный и спокойный цвет. Его выбирают и мужчины, и женщины. Эти люди любят, когда всё чисто. Часто белые машины покупают врачи, топ-менеджеры и директора.",1
"Он не романтик, он математик. У него тоже есть хобби: экономика, музыка и спорт. Наша дочка школьница. Её зовут Оля. У неё есть собака. Они друзья.",1
"Он тоже работает много, а отдыхает мало. Сегодня он долго читает документы, изучает контракты, думает, делает планы. Он работает, как всегда, хорошо. Он отлично всё знает.",1
"Когда я учился в университете, я изучал экономику, математику и другие предметы. Сейчас я живу в Санкт-Петербурге и учусь в университете. Здесь я изучаю русский язык.",1
"Утром, и зимой и летом, он делает гимнастику на улице! Встаёт в семь и идёт на улицу! Во вторник и четверг Петя играет в теннис.",1
"Добрый день, я Клаус. Я живу в Германии. У меня есть дом, сад и гараж, а в гараже стоит мой любимый Мерседес. В гостиной стоит камин.",1
"Ну, во-первых, у нас было очень уютное купе, где мы не только спали, но и пили чай, ели, разговаривали, пели песни. Во-вторых, дорога была очень интересная.",1
"это было так вкусно, что мы не хотели никуда идти. Но нас ждал экскурсовод, и мы пошли в автобус. Через 20 минут мы приехали в Третьяковскую галерею.",1
Я ходила на экскурсию. Я ходил на замечательный концерт. Я ездила в Петергоф. Это недалеко от Петербурга. У меня был неинтересный день. Я ходил только на занятия.,1
"Виктор — инженер. Днём он работает, а вечером отдыхает. Он слушает музыку, смотрит телевизор или читает книги. В свободное время он иногда гуляет. Пьер днём изучает русский язык.",1
"Можно приготовить яичницу без соли – это не очень плохо. Но это не очень хорошо. Я думаю: у меня нет еды, но я не хочу идти в магазин.",1
"Чёрный цвет машины — это символ статуса. Его предпочитают бизнесмены и политики. Если у вас серая машина, то вы скромный, практичный и педантичный человек. У вас коричневая машина.",1
"Тогда вы скорее семейный и консервативный человек, любите традиции и стабильность в жизни. Розовый цвет предпочитают сентиментальные и романтичные натуры, они смотрят на мир через «розовые очки».",1
"Ещё мне нравится покупать продукты в большом супермаркете, который находится около дома. Я живу в очень маленькой, но очень уютной квартире на последнем этаже.",1
"Я сказала преподавателю, что мне нравится театр, но я ещё не очень хорошо понимала по-русски.",1
"Они хотят ещё поехать на экскурсию вместе с Ниной, посмотреть большие и маленькие города России.",1
"И это второй день, когда люди покупают много цветов — для учителей. День Победы — самый большой официальный праздник России.",1
А в фильме прекрасная идея: что добро и зло всегда рядом с нами. Это настоящее серьёзное и очень актуальное кино. А какие там отличные спецэффекты! Это первый дорогой русский фильм.,1
"Например, когда вижу в слове суффикс «-тель», я знаю, что это человек. Человек, который строит, — строитель, человек, который учит, — учитель. А префикс «пере-» очень часто значит «ещё раз».",1
"Жить с родителями очень трудно и неинтересно, потому что они всегда работают. Мы живём в деревне Эбенау. Жить здесь очень скучно, потому что все мои друзья живут в Зальцбурге.",1
"Фрилансеры могут жить, где хотят, а работать дома на компьютере. Это очень удобно и уже популярно!",1
"Но, если он живёт 70 лет, то ходит 3 километра в день. А в России говорят: «Пешком ходить — долго жить!»",1
Мой папа — гитарист. У него есть брат. Это мой дядя. Его зовут Сергей. Он бизнесмен и много работает. У него есть жена. Это моя тётя. Её зовут Елена. Она домохозяйка.,1
"У нас не очень большая, но удобная квартира: прихожая, кухня, спальня, гостиная, детская, ванная и туалет.",1
"Сегодня, ища, у нас был урок, и мы читали текст, я не понимала фразы, потому что не помнила глаголы.",1
"Том рассказал, что когда он был маленьким, он хотел стать футболистом, но он всегда любил рисовать и стал художником.",1
"В комнате жены ещё нет зеркала, а в комнате дочери нет телевизора. Я думаю, что в квартире будет красиво.",1
"Традиционно в России, кроме южных районов, чёрный хлеб любили больше, чем белый. У русских всегда был настоящий культ хлеба.",1
"Русские так любят Новый год, что празднуют его 2 раза: первый раз 31 декабря, а второй раз, старый Новый год, — 13 января.",1
"Эта квартира большая, светлая, тёплая. В квартире 3 комнаты, кухня, ванная, где есть горячая и холодная вода. Район, где живёт Эрик Ларссен, хороший.",1
"Ему нравятся экономика и математика, он любит решать задачи, но ему не нравится изучать русский язык и совсем не нравится делать домашнее задание, поэтому он часто получает плохие оценки.",1
Вчера мы с другом ездили на экскурсию в город Суздаль. Мы ездили туда на автобусе. Суздаль — это старинный русский город. Он находится в центре России. Ему уже 1000 (тысяча) лет.,1
"В этом году я и мои друзья ездили в Крым, в Ялту. Эта поездка мне очень понравилась. В Симферополь, столицу Крыма, мы ехали на поезде. Поезд шёл 36 часов.",1
"Наталья — домохозяйка. Вы думаете, что она нигде не работает? Нет, это неправда. Она очень много работает. Но работает она дома. Её муж Евгений думает, что Наталья — идеальная жена.",1
"В Суздале тоже было холодно, но друзья с удовольствием гуляли, много фотографировали, слушали русские песни. Потом они пообедали в ресторане.",1
"Так я не только учу новые русские слова, но и учусь не есть слишком много. Понимать новые слова в контексте.",1
"Я взял и прочитал первое письмо. Пока я решал, что ответить, позвонили из другой компании. Незнакомый голос попросил позвать шефа.",1
А принтер стоит на полке справа. В офисе очень красиво. На стене висят картины. На окне стоят цветы. В углу на столике стоит кофемашина. Клаудия прекрасно делает кофе.,1
"Костюм должны носить и мужчины, и женщины. Мужчины должны обязательно носить в офисе галстук. Цвет одежды: серый, чёрный, синий, коричневый, бежевый.",1
"Иногда, раз в месяц, я хожу в театр. Например, в прошлое воскресенье я ходил на «Дядю Ваню». Театр для меня — лучший отдых».",1
"Сегодня был тест. Рауль долго писал его, но опять получил плохую оценку, потому что ничего не повторял, ничего не учил и не читал. Вчера он отдыхал весь день.",1
"В этом году я купил новую квартиру. Эта квартира находится в центре города. Она большая и удобная. Я взял отпуск на работе, потому что я хочу купить новую мебель.",1
Актёр Том Круз интересуется и занимается автоспортом. Он ездит на спортивной машине и электросамокате в кино и в жизни.,1
"В 7 часов я пью чай без сахара и читаю новости в интернете. В 7:30 я иду в спортзал на тренировку. У меня тренировки каждый день, потому что я балерина.",1
"Правило номер 1 — не завтракать! А ещё нельзя есть хлеб, пасту, пиццу, соль и нельзя пить алкоголь. На обед едят яйцо и помидор и пьют кофе или зелёный чай.",1
"Когда я слушаю радио или плеер, я тоже плохо понимаю. Но когда меня спрашивает мой преподаватель, я обычно понимаю его вопросы.",1
"У меня есть деньги, и я могу ходить в клубы, на дискотеки, но не хочу. Я отдыхаю, только когда я одна».",1
"В квартире есть 1 или 2 комнаты: гостиная и спальня, прихожая, маленькая кухня, ванная. Первый этаж без балкона. Наверно, здесь живут пожилые люди.",1
"Вот мои часы, мой телефон. А это наш преподаватель. Её зовут Нина Петровна. Там её стол, её стул, её учебник.",1
"В вагоне спальня, кухня, душ, туалет и гостиная. Интересно, а есть ещё отели из транспорта? Конечно! В Германии есть гостиница — рай для любителя автотранспорта.",1
"Он отвечает за все наши проекты. У него, конечно, есть кабинет, компьютер, автомобиль, дом, вилла. У него есть всё, потому что он директор.",1
"Франция: утро без круассана — это не утро. Наш завтрак обычно маленький, мы так и говорим. Часто это только чашечка кофе и горячий круассан с маслом, джемом или мёдом.",1
